exp_id,feature_set,test_dates,n_train,n_test,r2_global,rmse_global,mae_global,mbe_global,r2_cubierto,rmse_cubierto,mae_cubierto,mbe_cubierto,r2_variable,rmse_variable,mae_variable,mbe_variable,r2_despejado,rmse_despejado,mae_despejado,mbe_despejado
it_001_irradiance_only_d6d71f5a40,irradiance_only,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.4096071182383708,232.8738806732032,155.85500137804382,71.10844977279984,-1.1401384595750406,337.21294242667403,251.8031813515076,232.96216136848383,0.5856336719204973,208.30528573985995,161.71579449287935,30.772673365506552,0.9377162249094426,74.74672094594973,54.046028289744505,-50.40948541559085
it_002_minimal_edaaae122a,minimal,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.8279556111760857,125.71018934159954,68.08012715282678,-1.3366352427428283,0.7646666948551715,111.8214182257902,65.73418715362978,17.314198620143436,0.6759093031271524,184.2219369197667,120.85313470297068,-22.064586163844897,0.9892155428387204,31.1031107191038,17.65305960187989,0.740481815472977
it_003_meteo_050c4b34ec,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.8136133661916993,130.84514312277904,70.2809518365063,-9.824181916775602,0.771787510844449,110.11665309615708,61.68030168467531,-1.4535918356737758,0.6384636368440866,194.5736627485347,131.3050851505597,-30.555748592695544,0.9846520259245372,37.1048098227396,17.857468674283943,2.5367946780425146
it_004_daily_context_1eed4db640,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.7911080619734986,138.51954734364432,77.25750809585755,15.608461264232666,0.651873849149117,136.0039816812695,86.28695874214162,41.76436143335467,0.6425482501963795,193.4714005502232,121.22442422910731,21.03561463657798,0.9817763050447366,40.43178359707087,24.26114131632366,-15.974592277234642
it_005_meteo_all_8685e13d08,meteo_full,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.7420029951951337,153.9421529805995,98.88905628814912,-26.423919581889496,0.4886676801460076,164.82949232091013,114.03912292464896,26.035994739410768,0.6107610895702436,201.8906405560044,143.96631099038177,-70.39250216372078,0.964706312516998,56.26692731991126,38.66173494941665,-34.91525132135846
it_006_meteo_c7be7c9144,meteo_full,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.7961986970350224,136.8212967576972,81.5332708112381,-17.196452022833768,0.6497995366451028,136.40857030627092,74.45652404943777,-46.11076193526055,0.6790349573989947,183.3314313177776,129.67821282808205,24.55821968092265,0.9560497616273992,62.78925049200438,40.46507555619448,-30.036813814163395
it_007_meteo_007fe0545d,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.8065835054871974,133.28981894684154,72.61435845560437,-17.4559450463702,0.7773670286693308,108.76221414500208,69.91128822741427,-18.281791444244483,0.6125568297261669,201.4243944626785,131.53756081125823,-37.92791735546298,0.9899945749414288,29.95866476105684,16.3942263281406,3.841873660596857
it_008_meteo_13d84e604a,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.7849992877676999,140.53036472755815,75.6197020828413,21.3545448132698,0.6086021385877575,144.20905240459552,89.22554310745466,65.75262479204234,0.6402732553216013,194.0860965739057,120.96819778148806,-10.03372403618104,0.991297033022125,27.94076864824478,16.665365359581145,8.344733683948078
it_009_meteo_ff1e862331,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.793942448532459,137.57657442190236,72.67077626555694,-0.3140350191578478,0.7319904948286242,119.33240609867732,72.15800234818501,15.979480444493028,0.6004940684905592,204.53596198831244,130.22451867970906,-21.50733659029853,0.9921211698703578,26.584931769927493,15.62980776877672,4.585751088331961
it_010_meteo_c55c606b7c,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.6768145710557081,172.29636304228,100.86832657251834,30.492961254304745,0.077651998322707,221.3760859049689,141.77071067240138,88.15351838528755,0.6337247095866176,195.8447223200085,141.48058220537914,2.1347618184436903,0.9810979105528416,41.17746327283953,19.353686839774507,1.190603559182963
it_011_meteo_46c10a5c3c,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.6975140592604261,166.6874186351352,97.41767383377857,16.338570170520494,0.2606681858283434,198.1997015998056,137.21658069515615,100.07808157853474,0.5939169463357417,206.2127410064343,133.80080230697345,-48.31463799307244,0.9827512815379408,39.33535720056128,21.235638499206043,-2.747733073900787
it_012_meteo_08dd958337,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.5322705647412107,207.27531081673845,123.14258718922284,-22.164090405436443,-0.0795375573509442,239.49815768922417,166.34600139395167,103.92309349581274,0.3264050212457996,265.5874091925357,186.85577685711027,-171.3208831490744,0.988928815236233,31.513869397310607,16.225983316606634,0.9055184369523092
it_013_cloud_36f2ff5267,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.8166250993459248,129.78370556028884,69.20558777841268,-5.045827645232113,0.7642630117259204,111.91728455138458,64.26048346241438,13.691500116066798,0.6439289797208453,193.09737785072576,127.5764406312125,-33.74184131685452,0.991980749750491,26.820789934259924,15.779839241611151,4.912858265091373
it_014_cloud_7f0581dbd7,meteo,"2025-04-11,2025-04-20,2025-10-07",12028,5400,0.8001857059910231,135.4763541111363,71.44973735326072,-4.480708018481412,0.7250563861849897,120.86626931118964,66.69326245291441,10.417395318026754,0.6216615354475873,199.0436423509435,131.36039947750447,-28.41503038442107,0.9906971188304344,28.887730132404872,16.295550129363278,4.555511010950074
