model,global_r2,global_rmse,global_mae,global_mbe,global_mape_pct,global_nrmse_pct,global_n,details
C_XGBoost_Meteo,0.7110231808515489,157.13621295401586,105.01429365860871,-14.685818625444542,67.1707032871424,40.62424587084668,4208.0,Features: 8 (meteo + sensor dummies)
B_ClearSky,0.08557130999342599,279.52438513358106,198.9927846221613,119.69256449305018,213.28303745817206,72.26512040153905,4208.0,Direct column: sim_cs_ghi
A_Physical_Simulation,-0.11259700604434864,308.32853723475796,212.9431012117489,157.4131196148521,238.8773574380685,79.71182498389975,4208.0,Direct column: sim_irradiance_wm2
